Проект,Категории,Цена,Заявки
"Требуется специалист javascript, jquery сейчас",Веб-программирование,$10,5 заявок
Запрограммировать сайт. Привязать к modX,Веб-программирование,None,3 заявки
Нужно настроить прием почты на сервере,Системное администрирование,None,3 заявки
Реализовать макросы/скрипты для google таблиц срочно,Веб-программирование,None,нет заявок
Сверстать и запрограммить дизайн с привязкой к modX,Веб-программирование,None,3 заявки
Требуется исправить ошибки по подключению сайта к API,Веб-программирование,None,3 заявки
СРА-сайт,Веб-программирование,None,2 заявки
"SEO оптимизация интернет-магазина, тексты",Поисковые системы (SEO),None,1 заявка
"WP - премиум тема, не работает поиск адреса в встроеных гугл картах",Веб-программирование,None,3 заявки
Сверстать 3 страницы и 1 форму обратной связи,HTML-верстка,$30,None
Создать две похожие аватарки для ВК,Пиксел-арт/Иконки,$20,9 заявок
Облачный майнинг,Веб-программирование,None,нет заявок
Доработка по фрейм ворку symfony php 7,Веб-программирование,None,2 заявки
Сайт на Drupal7. Залить материалы из CSV,Веб-программирование,None,2 заявки
Сделать сайт для работы с каталогом картинок,Системы управления (CMS),None,3 заявки
Специалист по API,Веб-программирование,None,7 заявок
Нужна интерактивная карта с нашими землями,Веб-программирование,$30,None
"Скопировать сайт, сделать редизайн, дописать скрипты",Веб-программирование,None,1 заявка
Верстка сайта и натяжка на Modx,HTML-верстка,None,7 заявок
Адаптивный дизайн сайта,Дизайн сайтов,$130,26 заявок
Доработать/причесать логотип,Знаки/Логотипы,None,19 заявок
Кросс постинг в социальные сети MODX Revolution,Социальные сети (SMM/SMO),None,2 заявки
"Портал – Сайта ""под ключ"" Wedding Day",Веб-программирование,None,нет заявок
Доработки CMS вордпрес срочно,Веб-программирование,None,2 заявки
Написание консольной программы,Прикладное ПО,None,9 заявок
"Специалист по JS, расширение для Google Chrome",Веб-программирование,$400,1 заявка
Создать проморолик,Видеомонтаж,None,13 заявок
Ищем специалиста требуются Описания товаров,Копирайтинг/Рерайтинг,None,6 заявок
Правка страницы аккаунта клиента в Woocommerce,Системы управления (CMS),None,2 заявки
Анализ и иммитация трафика приложений для бетинга,Системное программирование,None,2 заявки
Натянуть верстку на WP,HTML-верстка,None,14 заявок
Лендниг на Adobe Muze – админ часть,Веб-программирование,None,1 заявка
Сделать сайт на основе готового дизайна,HTML-верстка,None,39 заявок
Создать идею сайта и уникальный контент для заработка в Gogle adsense,Сайты «под ключ»,None,2 заявки
Написание скрипта для ботов (steam api),Веб-программирование,None,None
Webasyst7 настроить 301 редирект,Веб-программирование,None,2 заявки
"Webasyst7 вкладке Услуги сделать галочку – ""выделить все""",Системы управления (CMS),None,1 заявка
Работа по магазину на престашоп,Интернет-магазины,$45,нет заявок
"Создание сайта по методу БМ, настройка контекстной рекламы",Контекстная реклама,None,2 заявки
Cоздание сайта,Интернет-магазины,$130,7 заявок
Программа для работы с предложениями на сайте,Прикладное ПО,None,1 заявка
Собрать контакты блогеров Youtube,Наполнение сайтов,$50,None
Wordpress исправление 2 ошибок,Системы управления (CMS),None,9 заявок
Собрать сервер RAILS,Системное администрирование,None,2 заявки
"Лендинг ""услуги автоэвакуатора""",Сайты «под ключ»,None,15 заявок
Нужно сделать торгового робота QUICK (фондовая биржа),Веб-программирование,None,4 заявки
Перевод страницы на английский язык,Переводы,None,12 заявок
Логотип для вк группы,Знаки/Логотипы,None,20 заявок
Внутренняя оптимизация сайта,Поисковые системы (SEO),None,None
Дизайн проект гостевого дома,Архитектура зданий,None,21 заявка
Продвижение контекстной рекламой,Контекстная реклама,None,12 заявок
Iphone4 + macbook,ПО для мобильных устройств,None,нет заявок
"Создание биржи по написанию студенч работ, переводов, чертежей и др",Сайты «под ключ»,None,5 заявок
Создание дизайна для чехла на телефон,Дизайн продукции,None,10 заявок
Нужно научить каталог товаров на js работать с WP на лендинге,Системы управления (CMS),None,1 заявка
Написать 6 статей по 2500 символов про собак (всего 15 тыс. символов),Копирайтинг/Рерайтинг,$14,5 заявок
Анализ рынка,Поисковые системы (SEO),None,2 заявки
Вёрстка сложного макета ~20 страниц,HTML-верстка,None,14 заявок
Ищу специалиста PHP+Curl,Веб-программирование,None,11 заявок
Нужен очень простой модуль для CMS DLE,Веб-программирование,None,1 заявка
Сверстать и интегрировать сайт на CMS WP,Веб-программирование,None,5 заявок
Написать статью на английском языке,Копирайтинг/Рерайтинг,$2,3 заявки
Разработка мобильного приложения для IOS и Android,ПО для мобильных устройств,None,3 заявки
Получить доступ к API инстаграмма,Веб-программирование,None,2 заявки
Создание интерактивного ролика для Sketchfab,Анимация,None,2 заявки
Доработка пхп модуля,Веб-программирование,None,4 заявки
Сверстать шаблон для сайта на Django,HTML-верстка,None,2 заявки
Разработка парсера на основе данных АПИ,Веб-программирование,None,10 заявок
Разработать php форму для взаимодействия с АПИ,Веб-программирование,None,6 заявок
Скопировать сайт вместе с содержимым,HTML-верстка,$5,16 заявок
В IE9 не работают js-скрипты. Надо поправить,Веб-программирование,$10,2 заявки
Дизайн листовки А5,Дизайн продукции,None,9 заявок
Дизайн меню на сайте,Дизайн сайтов,None,17 заявок
Создание шаблона для DLE (Дизайн PSD + Верстка + Интеграция),Дизайн сайтов,None,8 заявок
Тексты(статьи+продающий) к контенту в инста для муж тренинга,Копирайтинг/Рерайтинг,None,3 заявки
"Исправить верстку сайта, довести до конца",HTML-верстка,$20,42 заявки
Допилить функционал - OpenCart 2,Веб-программирование,None,2 заявки
Нужна верстка сайта,HTML-верстка,None,None
Перевод на Английский.,Переводы,None,26 заявок
Доработка сайта по плану СЕО,Веб-программирование,None,4 заявки
Шаблон досок объявлений для Tamaranga,HTML-верстка,$40,1 заявка
Разработка возможности покупки товара в кредит на работающем сайте,Интернет-магазины,None,3 заявки
Куплю трафик,Поисковые системы (SEO),None,1 заявка
Овпенкард - корректировка верстки сайта: изменить подачу баннера,Веб-программирование,None,7 заявок
Вируал март,Веб-программирование,None,3 заявки
Адаптивная верстка,HTML-верстка,None,5 заявок
Разработка дизайна сайта,Дизайн сайтов,$230,42 заявки
Ссылки со строительных форумов,Копирайтинг/Рерайтинг,None,2 заявки
Доработка модуля для magento 1.9,Веб-программирование,None,нет заявок
"Дизайн пластиковых карт, персоонализация штрих-код",Верстка полиграфии,$10,8 заявок
Простенький софт на windows,Прикладное ПО,None,3 заявки
Нужен человек знающий JavaScript.,Веб-программирование,None,11 заявок
Наставник по разработке IOS приложений,ПО для мобильных устройств,None,нет заявок
Протестировать и скорректировать API,Тестирование сайтов,None,2 заявки
Постинг комментов,Поисковые системы (SEO),None,3 заявки
Прикольные тексты на банки cпoртивного питания армейской тематики,Копирайтинг/Рерайтинг,None,4 заявки
Сделать адаптивную мобильную версию (Bootstrap),HTML-верстка,None,21 заявка
Нужно сделать редизайн  страниц,Дизайн сайтов,None,25 заявок
Собрать список каналов YouTube,Наполнение сайтов,$5,8 заявок
Редизайн интернет-магазина на opencart,Дизайн сайтов,None,None
Картинки-иллюстрации,Иллюстрации/Рисунки,None,10 заявок
Интеграция вёрстки на Битрикс. Настройка функционала,Веб-программирование,None,3 заявки
База данных с веб-доступом,Базы данных,$200,1 заявка
Создать слоган торгово-производственной компании,Нейминг/Слоганы,None,19 заявок
Сделать презентацию-продажник универсального интернет-магазина,Презентации,$80,10 заявок
"Копирайтер на сайт тематики ""Печи и камины""",Копирайтинг/Рерайтинг,None,3 заявки
Требуется создать приложение для андроид,ПО для мобильных устройств,None,2 заявки
Доработка сайта на полусамописной Джумле,Веб-программирование,None,3 заявки
Шаблонный сайт хтмл,HTML-верстка,$8,18 заявок
Создания фильтра на сайте WP,Веб-программирование,None,нет заявок
Креолизованный текст.,Дипломы/Курсовые/Рефераты,None,1 заявка
Проект: модернизация системы сопоставления данных,Веб-программирование,None,2 заявки
Сделать шаблонный сайт из нескольких страниц,HTML-верстка,None,17 заявок
"Перевести 3D модель (.igs/.stp/.stl) в формат, поддерживаемый Cinema4D",3D-графика,None,4 заявки
Сделать дизайн свадебной монограммы,Знаки/Логотипы,$10,None
Постинг ссылок на форумах тематики кино,Социальные сети (SMM/SMO),$5,1 заявка
Дизайн униформы для сотрудников супермаркета,Фирменный стиль,None,5 заявок
Создать сайт одностраничник продажи одного товара,Сайты «под ключ»,$10,9 заявок
Требуется доработать логотип и разработать визитки.,Знаки/Логотипы,None,28 заявок
Вывод фильтров в категорию над товарами. Shop-script 7,Веб-программирование,None,1 заявка
Дизайн,Дизайн сайтов,None,41 заявка
Скрипты обновления главной страницы и сверки файлов,Веб-программирование,None,2 заявки
CRM/ERP система для интернет-магазина и производства,Веб-программирование,None,5 заявок
Нужно натянуть готовый шаблон на opencart,Веб-программирование,None,1 заявка
Курсовая по информатике,Дипломы/Курсовые/Рефераты,None,1 заявка
Дизайн буклета,Дизайн продукции,$30,26 заявок
Провести доработку сайта на magento,Веб-программирование,None,нет заявок
Уникальные картинки для постов в блог,Иллюстрации/Рисунки,None,14 заявок
Сделать сортировку товаров на Joomla 2.5,Веб-программирование,None,3 заявки
Создать мобильную версию сайта,Веб-программирование,None,13 заявок
Корректировка верстки сайта,Веб-программирование,None,5 заявок
Джумла 3. Работа с фотогалереей и загрузчиком фото,Веб-программирование,None,11 заявок
Протестить сайт на его функциональность и т.д.,Веб-программирование,None,4 заявки
Написание отзывов с разных аккаунтов,Наполнение сайтов,None,5 заявок
"Статьи на тематику ""Обо всем""",Новости/Статьи/Обзоры,$300,25 заявок
Видео с планшета или со смартфона,Видеомонтаж,None,7 заявок
Создание социальной сети,Веб-программирование,None,6 заявок
"Мобильное приложение для IOS, android",ПО для мобильных устройств,$1000,1 заявка
Миниатюрный конвертер USB -> 1.5V + кабель,Чертежи/Схемы,None,2 заявки
Объяснить как подключить готовую форму с ленда на почту,Веб-программирование,None,5 заявок
Модуль Авто аукциона,Сайты «под ключ»,None,19 заявок
Настройка сервера и перенос сайтов,Системное администрирование,None,10 заявок
Разработчики на OpenCart,Системы управления (CMS),None,10 заявок
"Изготовление сайта ""под ключ""",Сайты «под ключ»,None,18 заявок
Требуеться рерайт простого финансового текста,Копирайтинг/Рерайтинг,None,10 заявок
Личный кабинет для сайта,Веб-программирование,None,3 заявки
Wordpress - перенести информацию на новый шаблон,Системы управления (CMS),None,7 заявок
Поправить парсер на Yii,Веб-программирование,None,6 заявок
Интеграция Woocommerce с Новой Почтой,Интернет-магазины,None,нет заявок
SMS-уведомления в Woocommerce,Интернет-магазины,None,2 заявки
Копирайтер,Копирайтинг/Рерайтинг,$50,17 заявок
Срочно сделать верстку,HTML-верстка,None,нет заявок
Сделать адаптивную верстку на работающем сайте WP,HTML-верстка,None,нет заявок
Разработка мобильной рекламной сети,Веб-программирование,None,нет заявок
Продвижение проекта в ВКонакте,Социальные сети (SMM/SMO),None,7 заявок
Написание отзывов от 500 символов согласно ТЗ,Копирайтинг/Рерайтинг,$160,113 заявок
Небольшие доработки по верстке,HTML-верстка,None,нет заявок
Разработать логотип для сайта,Знаки/Логотипы,$25,19 заявок
Рерайт статьи на женскую тематику,Копирайтинг/Рерайтинг,None,16 заявок
Приложение под Android. Календарь мероприятий.,ПО для мобильных устройств,None,4 заявки
"Сайт по примеру ""под ключ""",Сайты «под ключ»,None,15 заявок
Нужно качественно настроить таргетинг в фейсбуке,Социальные сети (SMM/SMO),None,5 заявок
Сайт по продаже собственных туристических поездок,Веб-программирование,None,4 заявки
Обработка видео в Camtasia Studio или аналогах,Видеомонтаж,None,12 заявок
Spryt-5.5,Прикладное ПО,None,нет заявок
Спрайты для игры,Фотография (съемка),$75,7 заявок
Изменение галереи на Jquery fancybox,Веб-программирование,None,None
Рерайт статей на женскую тему,Копирайтинг/Рерайтинг,None,36 заявок
Логотип для компании под дизайн сайта,Знаки/Логотипы,$20,11 заявок
Верстка в шаблон на Word press,HTML-верстка,$40,13 заявок
Разработка интернет портала - площадки по продажам товаров,Сайты «под ключ»,None,5 заявок
Сверстать шаблон конверта,HTML-верстка,None,None
Оптизация сайта на WP,Веб-программирование,None,7 заявок
Доработка сайта на WP,HTML-верстка,$50,4 заявки
Парсер продуктов для OpenCart,Веб-программирование,$20,None
Сделать сайт.,Веб-программирование,$10,11 заявок
Доработать сайт,Веб-программирование,$800,5 заявок
Интеграция с 1С на базе Simpla + парсинг,Системы управления (CMS),None,нет заявок
Бутстрап opencart,HTML-верстка,None,5 заявок
Переделать анимацию на Canvas,Анимация,$20,3 заявки
Нужно натянуть готовый шаблон на opencart,Веб-программирование,None,2 заявки
Правки сайта на yii,Веб-программирование,None,6 заявок
Мелкие доработки верстки,HTML-верстка,None,None
Форма регистрации через API по протоколу JSON  используя Ajax,Веб-программирование,None,2 заявки
Обработать фотографию и сделать фон,Фотография (обработка),None,26 заявок
Контекстная реклама в GoogleAdwords по Украине,Контекстная реклама,None,9 заявок
Правки на сайте Back end и Fron end (Python/Django),Веб-программирование,None,нет заявок
Написание уникальных текстов для категорий каталога товаров,Копирайтинг/Рерайтинг,$50,8 заявок
Нейминг для нового приложения,Нейминг/Слоганы,$20,1 заявка
Краткий отзыв о приложении,Копирайтинг/Рерайтинг,$25,4 заявки
Написать уникальные описания к отелям и ресторанам Мальдивских атоллов,Копирайтинг/Рерайтинг,None,10 заявок
Модуль DLE для видеохостинга openload.co,Системы управления (CMS),None,None
Аватарка для ВК,Пиксел-арт/Иконки,None,17 заявок
Придумать название для сервисного центра.,Нейминг/Слоганы,$50,42 заявки
Back-End на базе Wordpress для ИМ,Интернет-магазины,None,2 заявки
"Копирайтер на тему дизайн интерьеров, поделки",Копирайтинг/Рерайтинг,$5,None
SEO специалист,Поисковые системы (SEO),None,13 заявок
Система рейтинга и комментариев,Веб-программирование,None,2 заявки
Веб-приложение по ментальной арифметике,Веб-программирование,None,5 заявок
Произвести небольшие доработки и устранения ошибок в oscommerce,Интернет-магазины,$50,1 заявка
Требуется специалист по Joomla,Системы управления (CMS),None,4 заявки
Вставить готовый платежный модуль в сайт на MODX REVO,Веб-программирование,None,None
Специалист webasyst/shop script,Веб-программирование,None,2 заявки
Написание метатегов,Копирайтинг/Рерайтинг,None,6 заявок
Натянуть верстку на ModX Revo + подключить функционал,Системы управления (CMS),$230,5 заявок
Внедрение AmoCRM для Интернет-магазина Автозапчастей,Веб-программирование,None,1 заявка
Необходим UX/UI дизайнер для решения разовых задач по CRM,Интерфейсы игр и программ,None,1 заявка
Продвижение сайта,Поисковые системы (SEO),None,10 заявок
Сделать PSD шаблон сайта главная и внутренняя,Дизайн сайтов,$60,None
Нарисовать 2 лендинга по AIDA,Дизайн сайтов,None,20 заявок
Скрипт и админка для синхронизации YML с альбомами ВК и Однокласников,Веб-программирование,$200,1 заявка
Изменить дизайн формы amocrm,Дизайн сайтов,None,нет заявок
Настройка любительской фотостудии.,Фотография (съемка),None,1 заявка
Новостники с автонаполнением,Сайты «под ключ»,None,4 заявки
Копирайтинг на английском,Копирайтинг/Рерайтинг,$500,11 заявок
Публикация 100 статей на автомобильную тематику,Наполнение сайтов,None,11 заявок
Опубликовать 30 статей на CMS Wordpress,Наполнение сайтов,None,58 заявок
Составить 1000 ТЗ для сайтов,Копирайтинг/Рерайтинг,None,53 заявки
Система получения онлайн консультаций,Веб-программирование,$1500,11 заявок
Модификации дополнений для движка Xenforo,Веб-программирование,None,нет заявок
Починить 2 сайта Joomla 1.5,Системы управления (CMS),None,5 заявок
Нарисовать дизайн лендинга для верстальщика,Дизайн сайтов,None,39 заявок
Редактирование видео ролика,Видеомонтаж,None,17 заявок
Разработка сайта юридических услуг,Системы управления (CMS),None,12 заявок
Подарки и стикеры нарисовать для сайта знакомств,Иллюстрации/Рисунки,$35,10 заявок
Натянуть корзину на шаблон - шаблонизатор Smarty,Веб-программирование,$30,3 заявки
Нужно создать фирменный образ для упаковки,Фирменный стиль,None,10 заявок
Доработка интернет-магазина,Интернет-магазины,None,3 заявки
Нужно обзвонить 8 000 баз отдыха,Служба поддержки,None,9 заявок
Натяжка шаблона на DLE,HTML-верстка,$5,6 заявок
Наполнение сайта по недвижимости.,Наполнение сайтов,None,23 заявки
Вставка на страницу сайта флеш видео 3D просмотра,HTML-верстка,None,4 заявки
Разработка агрегатора-товаров,Веб-программирование,None,3 заявки
Размещение рекламы сайта,Социальные сети (SMM/SMO),None,7 заявок
Настройка 301 редиректов,Веб-программирование,None,4 заявки
Оформить торговую точку снаружи,Интерьеры/Экстерьеры,None,None
Создание мобильного приложения. Мобильный кошелек,ПО для мобильных устройств,None,7 заявок
Нужен верстальщик сайтов строго из Москвы или МО,HTML-верстка,None,3 заявки
