Проект,Категории,Цена,Заявки
Сверстать (натянуть) сайт на wp,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,3 заявки
Оформить информацию в виде инфографики.,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$20,3 заявки
Лейдинг пейдж,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Переименовщик файлов (пакетом),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Разработка нового дизайна сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,7 заявок
Перевод медицинского текста,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,7 заявок
Создание обложки (Timeline) для facebook,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,2 заявки
Простая рекламная картинка,"<a class=""text-muted"" href=""/jobs/?category_id=8"">Баннеры</a>",$5,7 заявок
Регистрация в каталогах 1ps,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,нет заявок
Разработать планировку офиса,"<a class=""text-muted"" href=""/jobs/?category_id=15"">Интерьеры/Экстерьеры</a>",None,4 заявки
Написать модуль для Opencart которые считывает заголовок Host,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Построение штатного расписание,"<a class=""text-muted"" href=""/jobs/?category_id=72"">Бухгалтерские услуги</a>",None,нет заявок
Верстка админ. панели сервиса комментариев на semantic-ui,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,3 заявки
Верстка трех макетов,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$46,14 заявок
Отредактировать фаил robot.txt и создать sitemape,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,нет заявок
"Статья для сайта ""Продажа нижнего белья"" 3000 зн.","<a class=""text-muted"" href=""/jobs/?category_id=45"">Новости/Статьи/Обзоры</a>",None,2 заявки
"Дизайн экстерьера ""булочной""","<a class=""text-muted"" href=""/jobs/?category_id=15"">Интерьеры/Экстерьеры</a>",None,4 заявки
Парсер адалт тубов,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",$100,2 заявки
Написать сайт с админкой,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Внести мелкие правки на Битрикс,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Доделать портал на YII,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
На базе nethouse сделать интернет магазин,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,4 заявки
Настроить рекламу в Google Adwords,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,5 заявок
"Создание сайта проката авто.Интересный и сложный, долгий проект","<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,5 заявок
Нарисовать фон как в вацапе,"<a class=""text-muted"" href=""/jobs/?category_id=14"">Пиксел-арт/Иконки</a>",None,None
Выпарсить данные с semrush,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,6 заявок
Доработки по сайту Opencart 1.5.5.1.2,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,8 заявок
Плагин обновления остатков и цен (внесены дополнения)!,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,12 заявок
Доработка приложения,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,3 заявки
Проектирование сервиса,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Написать функцию получения информации о ролике YouTube,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$35,5 заявок
Требуется переводчик на польский язык,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,5 заявок
API FB словить callback,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Программист C++/Qt,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Нужен копирайтер,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,22 заявки
Дизайн наших проектов (долгосрочно),"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,18 заявок
История загрузки страниц сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Доработать плагин вопрос-ответ на WordPress,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Курсовая. Бухгалтерский учет.,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,5 заявок
Скопировать сайт с битрикса на modx/,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Активировать кнопку шорткода на странице.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Написать должностные инструкции и методические указания для компании,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",$150,4 заявки
Настроить редиректы nginx,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,6 заявок
Исправить ошибку в магазине на joomla.,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",$4,4 заявки
Создать дизайн внутренней страницы согласно имеющегося шаблона,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,14 заявок
Сделать дизайн сайта для производителя пищевых продуктов,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$190,27 заявок
Полностью функционирующий одностраничный сайт.,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,10 заявок
Составление тестов для подготовки к ЕГЭ по ряду предметов,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",$20,7 заявок
Написать 5 статей по финансовой грамотности и разместить на joomla,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,3 заявки
"Бюджетный дизайн интерьера, для магазина женской одежды.","<a class=""text-muted"" href=""/jobs/?category_id=15"">Интерьеры/Экстерьеры</a>",None,14 заявок
Дизайн футболки,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",$20,5 заявок
3d рендеринг и создание презентации,"<a class=""text-muted"" href=""/jobs/?category_id=12"">3D-графика</a>",None,8 заявок
Добавление товаров в Интернет-магазин спортивной экипировки,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,8 заявок
Нужно сделать gif рисунок,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,5 заявок
Настроить VPN+TOR,"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,2 заявки
Настройка Goip Hybertone и роутера,"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,1 заявка
Создание логотипа,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,29 заявок
Движок для сайта турагентсва,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Создание нового дизайна сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,19 заявок
Сайт под ключ для типографии,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",$4500,19 заявок
Нужен обзвон по Базе контактов,"<a class=""text-muted"" href=""/jobs/?category_id=56"">Служба поддержки</a>",None,7 заявок
Программирование на qt,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Доработка 1С с интеграцией в веб ресурс,"<a class=""text-muted"" href=""/jobs/?category_id=83"">1С-программирование</a>",None,3 заявки
Статья на главную,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$20,12 заявок
Написание текста для страницы каталога интернет-магазина,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,9 заявок
Несложная работа для дизайнера,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,14 заявок
Доработать сайт для мобильных устройств (кроссбраузерная верстка),"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,5 заявок
Редизайн сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,8 заявок
Доработка сайта на вордпрессе,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Создание макета категории cs-cart,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,нет заявок
Эскиз в кривых,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,8 заявок
Доработка плагина на CMS LiveStreet,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
"Требуется рерайтинг. Рерайтинг новости по теме авто, космос.","<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,22 заявки
Дизайн страниц вебсайта,"<a class=""text-muted"" href=""/jobs/?category_id=82"">Дизайн мобильных приложений</a>",None,8 заявок
Кроссбраузерность и адаптация сайта для мобильных устройств,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,3 заявки
"Текст для сайта на английском, производство химических продуктов.","<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,2 заявки
Нужен парсер товаров hostcms,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Разработка/Копирование сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$75,4 заявки
Дизайн для приложения-викторины,"<a class=""text-muted"" href=""/jobs/?category_id=82"">Дизайн мобильных приложений</a>",None,4 заявки
Создание сайта агентства недвижимости,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$200,9 заявок
Поисковые системы,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,5 заявок
"Требуется специалист javascript, jquery сейчас","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$10,5 заявок
Запрограммировать сайт. Привязать к modX,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Нужно настроить прием почты на сервере,"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,3 заявки
Реализовать макросы/скрипты для google таблиц срочно,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Сверстать и запрограммить дизайн с привязкой к modX,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Требуется исправить ошибки по подключению сайта к API,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
СРА-сайт,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
"SEO оптимизация интернет-магазина, тексты","<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,1 заявка
"WP - премиум тема, не работает поиск адреса в встроеных гугл картах","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Сверстать 3 страницы и 1 форму обратной связи,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$30,None
Создать две похожие аватарки для ВК,"<a class=""text-muted"" href=""/jobs/?category_id=14"">Пиксел-арт/Иконки</a>",$20,8 заявок
Облачный майнинг,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Нужна помощь по API  интеграции,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,11 заявок
Доработка по фрейм ворку symfony php 7,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Сайт на Drupal7. Залить материалы из CSV,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Сделать сайт для работы с каталогом картинок,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,3 заявки
Специалист по API,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Нужна интерактивная карта с нашими землями,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$30,None
"Скопировать сайт, сделать редизайн, дописать скрипты","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Верстка сайта и натяжка на Modx,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,7 заявок
Адаптивный дизайн сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$130,26 заявок
Доработать/причесать логотип,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,19 заявок
Кросс постинг в социальные сети MODX Revolution,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,2 заявки
"Портал – Сайта ""под ключ"" Wedding Day","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Доработки CMS вордпрес срочно,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Написание консольной программы,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,9 заявок
"Специалист по JS, расширение для Google Chrome","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$400,1 заявка
Создать проморолик,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,13 заявок
Ищем специалиста требуются Описания товаров,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,6 заявок
Правка страницы аккаунта клиента в Woocommerce,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,2 заявки
Анализ и иммитация трафика приложений для бетинга,"<a class=""text-muted"" href=""/jobs/?category_id=24"">Системное программирование</a>",None,2 заявки
Натянуть верстку на WP,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,13 заявок
Лендниг на Adobe Muze – админ часть,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Сделать сайт на основе готового дизайна,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,39 заявок
Создать идею сайта и уникальный контент для заработка в Gogle adsense,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,2 заявки
Написание скрипта для ботов (steam api),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Webasyst7 настроить 301 редирект,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
"Webasyst7 вкладке Услуги сделать галочку – ""выделить все""","<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,1 заявка
Работа по магазину на престашоп,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",$45,нет заявок
"Создание сайта по методу БМ, настройка контекстной рекламы","<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,2 заявки
Cоздание сайта,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",$130,7 заявок
Программа для работы с предложениями на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,1 заявка
Собрать контакты блогеров Youtube,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",$50,None
Wordpress исправление 2 ошибок,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,8 заявок
Собрать сервер RAILS,"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,2 заявки
"Лендинг ""услуги автоэвакуатора""","<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,15 заявок
Нужно сделать торгового робота QUICK (фондовая биржа),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Перевод страницы на английский язык,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,12 заявок
Логотип для вк группы,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,19 заявок
Внутренняя оптимизация сайта,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,None
Дизайн проект гостевого дома,"<a class=""text-muted"" href=""/jobs/?category_id=75"">Архитектура зданий</a>",None,17 заявок
Продвижение контекстной рекламой,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,11 заявок
Iphone4 + macbook,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,нет заявок
"Создание биржи по написанию студенч работ, переводов, чертежей и др","<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,5 заявок
Создание дизайна для чехла на телефон,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,10 заявок
Нужно научить каталог товаров на js работать с WP на лендинге,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,1 заявка
Написать 6 статей по 2500 символов про собак (всего 15 тыс. символов),"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$14,5 заявок
Анализ рынка,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,2 заявки
Задание на наполнение БД и разработку панели управления данными.,"<a class=""text-muted"" href=""/jobs/?category_id=25"">Базы данных</a>",$160,нет заявок
Вёрстка сложного макета ~20 страниц,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,14 заявок
Ищу специалиста PHP+Curl,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,11 заявок
Нужен очень простой модуль для CMS DLE,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Сверстать и интегрировать сайт на CMS WP,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,5 заявок
Написать статью на английском языке,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$2,3 заявки
Разработка мобильного приложения для IOS и Android,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,3 заявки
Получить доступ к API инстаграмма,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Создание интерактивного ролика для Sketchfab,"<a class=""text-muted"" href=""/jobs/?category_id=39"">Анимация</a>",None,2 заявки
Доработка пхп модуля,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Сверстать шаблон для сайта на Django,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,2 заявки
Разработка парсера на основе данных АПИ,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,10 заявок
Разработать php форму для взаимодействия с АПИ,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,6 заявок
Скопировать сайт вместе с содержимым,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$5,15 заявок
В IE9 не работают js-скрипты. Надо поправить,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$10,2 заявки
Дизайн листовки А5,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,9 заявок
Дизайн меню на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,17 заявок
Создание шаблона для DLE (Дизайн PSD + Верстка + Интеграция),"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,8 заявок
Решить проблему с переполнением диска на сайте под битриксом,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Тексты(статьи+продающий) к контенту в инста для муж тренинга,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,3 заявки
"Исправить верстку сайта, довести до конца","<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$20,39 заявок
Допилить функционал - OpenCart 2,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Нужна верстка сайта,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,None
Перевод на Английский.,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,26 заявок
Доработка сайта по плану СЕО,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Шаблон досок объявлений для Tamaranga,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$40,1 заявка
Разработка возможности покупки товара в кредит на работающем сайте,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,3 заявки
Куплю трафик,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,1 заявка
Овпенкард - корректировка верстки сайта: изменить подачу баннера,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Вируал март,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Адаптивная верстка,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,5 заявок
Разработка дизайна сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$230,42 заявки
Ссылки со строительных форумов,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,2 заявки
Доработка модуля для magento 1.9,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
"Дизайн пластиковых карт, персоонализация штрих-код","<a class=""text-muted"" href=""/jobs/?category_id=10"">Верстка полиграфии</a>",$10,8 заявок
Простенький софт на windows,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,3 заявки
Нужен человек знающий JavaScript.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,11 заявок
Наставник по разработке IOS приложений,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,нет заявок
Протестировать и скорректировать API,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",None,2 заявки
Постинг комментов,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,2 заявки
Прикольные тексты на банки cпoртивного питания армейской тематики,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,4 заявки
Сделать адаптивную мобильную версию (Bootstrap),"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,20 заявок
Нужно сделать редизайн  страниц,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,25 заявок
Собрать список каналов YouTube,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",$5,8 заявок
Редизайн интернет-магазина на opencart,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,None
Картинки-иллюстрации,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,9 заявок
Интеграция вёрстки на Битрикс. Настройка функционала,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
База данных с веб-доступом,"<a class=""text-muted"" href=""/jobs/?category_id=25"">Базы данных</a>",$200,1 заявка
Создать слоган торгово-производственной компании,"<a class=""text-muted"" href=""/jobs/?category_id=86"">Нейминг/Слоганы</a>",None,18 заявок
Сделать презентацию-продажник универсального интернет-магазина,"<a class=""text-muted"" href=""/jobs/?category_id=60"">Презентации</a>",$80,10 заявок
